** Airport,Taxi out,Taxi in
KABQ,0:08:00,0:03:42
KATL,0:12:30,0:06:30
KBDL,0:10:24,0:04:00
KBNA,0:08:54,0:04:18
KBOS,0:12:42,0:06:00
KBWI,0:09:00,0:03:36
KCLE,0:11:12,0:03:48
KCLT,0:11:42,0:04:36
KCVG,0:11:54,0:05:30
KDAY,0:10:12,0:04:12
KDCA,0:11:00,0:03:36
KDEN,0:11:18,0:05:42
KDFW,0:12:00,0:07:12
KDTW,0:12:12,0:06:24
KEWR,0:13:24,0:06:36
KFLL,0:11:36,0:03:42
KHOU,0:06:42,0:03:48
KHPN,0:09:54,0:03:54
KIAD,0:12:24,0:05:18
KIAH,0:12:48,0:05:18
KIND,0:10:12,0:06:36
KJFK,0:17:24,0:07:36
KLAS,0:10:24,0:04:06
KLAX,0:11:06,0:05:48
KLGA,0:12:30,0:05:42
KMCI,0:08:42,0:03:36
KMCO,0:10:48,0:04:24
KMDW,0:08:24,0:03:48
KMEM,0:11:18,0:05:18
KMIA,0:13:42,0:05:12
KMSP,0:11:24,0:04:36
KMSY,0:07:48,0:03:00
KOAK,0:08:00,0:04:12
KONT,0:07:12,0:03:54
KORD,0:11:24,0:05:36
KPBI,0:10:36,0:04:06
KPDX,0:09:12,0:03:24
KPHL,0:11:30,0:04:42
KPHX,0:09:36,0:04:18
KPIT,0:11:18,0:05:36
KRDU,0:09:36,0:03:42
KSAN,0:10:00,0:02:48
KSAT,0:08:12,0:02:54
KSEA,0:11:12,0:04:30
KSFO,0:12:24,0:04:30
KSJC,0:11:00,0:03:36
SJU,0:12:48,0:04:36
KSLC,0:12:54,0:04:36
KSTL,0:11:00,0:04:06
KTPA,0:09:48,0:04:06
ZZZ,0:10:00,0:05:00
