**flightid,entryTime(milliseconds),exitTime(milliseconds),transitTime(milliseconds),upperStreamSector,currentSector,downStreamSector
4,462000,1296782,834782,XXXX,KHOU,TRACONTKHOU
4,1296782,1411000,114218,TRACONTKHOU,ZHUIA,ZHU86
4,1411000,1614000,203000,ZHUIA,ZHU86,ZHU46
4,1614000,1977000,363000,ZHU86,ZHU46,ZFW89
4,1977000,2542000,565000,ZHU46,ZFW89,ZFW29
4,2542000,2874282,332282,ZFW89,ZFW29,TRACOND10
4,2874282,3712000,837718,TRACOND10,KDFW,XXXX
5,636000,1470782,834782,XXXX,KPHX,TRACONTKPHX
5,1470782,1512000,41218,TRACONTKPHX,ZAB46,ZAB38
5,1512000,2049000,537000,ZAB46,ZAB38,ZAB50
5,2049000,2457000,408000,ZAB38,ZAB50,ZAB68
5,2457000,3477000,1020000,ZAB50,ZAB68,ZAB94
5,3477000,4096000,619000,ZAB68,ZAB94,ZAB87
5,4096000,5182000,1086000,ZAB94,ZAB87,ZFW93
5,5182000,5984000,802000,ZAB87,ZFW93,ZFW47
5,5984000,6980000,996000,ZFW93,ZFW47,ZFW75
5,6980000,7333782,353782,ZFW47,ZFW75,TRACOND10
5,7333782,7973000,639218,TRACOND10,KDFW,XXXX
6,2028000,2862782,834782,XXXX,KIAH,TRACONTKIAH
6,2862782,3200000,337218,TRACONTKIAH,ZHU86,ZHU46
6,3200000,3350000,150000,ZHU86,ZHU46,ZFW89
6,3350000,3700000,350000,ZHU46,ZFW89,ZFW29
6,3700000,4165782,465782,ZFW89,ZFW29,TRACOND10
6,4165782,4856000,690218,TRACOND10,KDFW,XXXX
7,1260000,2094782,834782,XXXX,KLIT,TRACONTKLIT
7,2094782,2458000,363218,TRACONTKLIT,ZME01,ZME21
7,2458000,2629000,171000,ZME01,ZME21,ZFW42
7,2629000,3340000,711000,ZME21,ZFW42,ZFW37
7,3340000,3793782,453782,ZFW42,ZFW37,TRACOND10
7,3793782,4562000,768218,TRACOND10,KDFW,XXXX
8,1104000,1938782,834782,XXXX,KLAS,TRACONTKLAS
8,1938782,2002000,63218,TRACONTKLAS,ZLA07,ZLA08
8,2002000,2281000,279000,ZLA07,ZLA08,ZLA35
8,2281000,2666000,385000,ZLA08,ZLA35,ZLA36
8,2666000,2975000,309000,ZLA35,ZLA36,ZAB67
8,2975000,3788000,813000,ZLA36,ZAB67,ZAB79
8,3788000,4714000,926000,ZAB67,ZAB79,ZAB68
8,4714000,5167000,453000,ZAB79,ZAB68,ZAB94
8,5167000,5919000,752000,ZAB68,ZAB94,ZAB87
8,5919000,6745000,826000,ZAB94,ZAB87,ZFW93
8,6745000,7524000,779000,ZAB87,ZFW93,ZFW47
8,7524000,8491000,967000,ZFW93,ZFW47,ZFW75
8,8491000,8848782,357782,ZFW47,ZFW75,TRACOND10
8,8848782,9482000,633218,TRACOND10,KDFW,XXXX
9,1344000,2074434,730434,XXXX,KORD,TRACONC90
9,2074434,2621000,546566,TRACONC90,ZAU44,ZAU45
9,2621000,2931000,310000,ZAU44,ZAU45,ZKC84
9,2931000,3918000,987000,ZAU45,ZKC84,ZKC29
9,3918000,5159000,1241000,ZKC84,ZKC29,ZME22
9,5159000,6444000,1285000,ZKC29,ZME22,ZFW42
9,6444000,7087000,643000,ZME22,ZFW42,ZFW37
9,7087000,7447434,360434,ZFW42,ZFW37,TRACOND10
9,7447434,8209000,761566,TRACOND10,KDFW,XXXX
10,3558000,4392782,834782,XXXX,KDEN,TRACONTKDEN
10,4392782,4638000,245218,TRACONTKDEN,ZDVCO,ZDV42
10,4638000,4819000,181000,ZDVCO,ZDV42,ZDV41
10,4819000,5533000,714000,ZDV42,ZDV41,ZAB15
10,5533000,6980000,1447000,ZDV41,ZAB15,ZFW47
10,6980000,7626000,646000,ZAB15,ZFW47,ZFW94
10,7626000,7872000,246000,ZFW47,ZFW94,ZFW32
10,7872000,7949000,77000,ZFW94,ZFW32,ZFW75
10,7949000,8344782,395782,ZFW32,ZFW75,TRACOND10
10,8344782,8969000,624218,TRACOND10,KDFW,XXXX
