uniqueflightid,airlineflightnumber
53,JZA78
71,N868DS
55,LN575EW
67,N62WC
91,SKW6874
68,N686PC
2172,MKU204
93,SSX907
81,QXE389
54,LAK979
2168,MES3167
38,FLG4137
29,ECJ58
65,N506QS
24,CJC533A
61,N345LC
2113,GFT9294
102,UAL209
87,SKW419P
1012,GLA723
98,SWA397
2238,SKW6977
2244,SQH7
22,CHQ6038
69,N74GB
2243,SQH321
9,ASH2829
36,FLG3670
58,N117TF
1073,LN416P
25,COA1441
72,N877DF
89,SKW6446
2099,EMD4
82,QXE82
30,EGF3328
4,AAL1367
86,SKW415L
79,QXE242
2049,AWI3917
90,SKW6641
88,SKW533Z
1676,LN203LG
2196,N813JB
63,N421DE
104,UPS988
39,FLG4307
15,ASQ5356
421,JIA392
107,XSR498
60,N191TV
77,PGN02
517,N728MM
6,AAL694
2144,JIA444
106,XSR395
13,ASQ5154
213,AWI3834
26,COM1317
35,EGF4350
19,BTA2191
78,PWA722
64,N504MK
12,ASQ5093
66,N600GA
101,TN707MS
95,SWA190
625,SWA107
17,AWE208
96,SWA2860
94,SWA1040
75,NKS575
100,TCF7636
700,SWA60
33,EGF4131
5,AAL1539
514,N711SW
3246,GPD157
74,N919BF
581,SKW4447
57,MKU307
473,MKU1559
746,UAL798
99,TCF7504
103,UAL9969
20,BTA2481
84,SKW1060
92,SQH45
621,SKW867F
97,SWA292
18,AWI4061
21,BTA2803
34,EGF4267
85,SKW392C
59,N123HK
14,ASQ5200
658,SWA225
62,N3K
41,GJS7395
359,EJM423
2156,KAP325
494,N329PA
113,AAL2001
546,PDT4483
468,MES3282
601,SKW6335
70,N808PM
80,QXE270
2163,LN661TC
105,UPS988
73,N888WU
724,TRS737
