ABQ ,8.4
ANC ,10.9
ATL ,12.9
AUS ,9.9
BDL ,10.9
BHM ,10.4
BNA ,9.8
BOS ,13.4
BUF ,10.4
BUR ,9.2
BWI ,9.5
CLE ,10.3
CLT ,12.6
CVG ,12.5
DAL ,7.9
DAY ,11
DCA ,12.1
DEN ,10.7
DFW ,11.5
DTW ,14.9
EWR ,12.7
FLL ,11.9
HNL ,11.2
HOU ,7.7
HPN ,10.7
IAD ,12.3
IAH ,11.9
IND ,11
ISP ,7.5
JAX ,10.7
JFK ,17.8
LAS ,10.7
LAX ,11
LGA ,13.1
LGB ,12.1
MCI ,9.6
MCO ,10.2
MDW ,8.5
MEM ,13.3
MHT ,9.7
MIA ,13.4
MKE ,10.4
MSP ,13.1
MSY ,9
OAK ,7.7
OGG ,7.5
OMA ,10.1
ONT ,7.9
ORD ,11.1
OXR ,7.1
PBI ,10.7
PDX ,9.3
PHL ,13.2
PHX ,10.6
PIT ,11
PSP ,9.8
PVD ,10.1
RDU ,11.1
RSW ,10.1
SAN ,10
SAT ,8.9
SDF ,10.4
SEA ,11.7
SFO ,12.3
SJC ,8.8
SJU ,11.6
SLC ,13.4
SMF ,8.4
SNA ,8.8
STL ,9.2
SWF ,12.9
TPA ,10.2
TUS ,8.9
